	Instance	Best cost	Average cost	Deviation	nInstance
	rat99	3166.731466666667	2861.2038453333344	305.5276213333327	100
	rat99	3171.896933333335	2867.877847	304.0190863333346	100
	rat99	3158.1341000000025	2863.037367333334	295.0967326666687	100
	rat99	3147.1787333333323	2858.8941299999988	288.2846033333335	100
	rat99	3161.925866666665	2874.325881333335	287.5999853333301	100
	rat99	3141.260833333334	2846.863464	294.39736933333415	100
	rat99	3184.123166666665	2883.612490333334	300.51067633333105	100
	rat99	3183.201733333335	2869.789272333333	313.41246100000217	100
	rat99	3124.0612000000015	2848.510994666666	275.55020533333527	100
	rat99	3094.6103333333335	2862.1184226666664	232.49191066666708	100
	rat99	3188.230600000001	2870.9320266666664	317.2985733333344	100
	rat99	3216.0540999999985	2861.6223223333345	354.43177766666395	100
	rat99	3230.5905666666667	2870.9609420000006	359.62962466666613	100
	rat99	3179.9129999999996	2874.4030846666665	305.5099153333331	100
	rat99	3234.240366666665	2866.629281666667	367.6110849999982	100
	rat99	3261.513566666665	2854.981329666667	406.5322369999981	100
	rat99	3226.840899999999	2837.6401349999996	389.20076499999914	100
	rat99	3131.4085666666674	2846.8644843333336	284.5440823333338	100
	rat99	3123.3608666666687	2842.5404423333325	280.8204243333362	100
	rat99	3267.1655666666675	2849.458571	417.70699566666735	100

	

	eil51	627.7540333333337	570.9419006666666	56.81213266666714	100
	eil51	623.9084666666662	572.3055853333334	51.60288133333279	100
	eil51	622.8222333333331	576.1045053333335	46.717727999999624	100
	eil51	620.2712666666671	573.6696770000001	46.601589666666996	100
	eil51	622.6155999999997	569.6605383333334	52.955061666666325	100
	eil51	620.3560000000001	570.3378633333333	50.018136666666805	100
	eil51	631.2856333333331	571.8922896666666	59.39334366666651	100
	eil51	638.6682666666661	570.1283146666665	68.53995199999963	100
	eil51	623.8219666666664	569.1583826666667	54.66358399999967	100
	eil51	626.4436333333335	572.2475176666663	54.1961156666672	100


	berlin52	11291.921666666662	10445.451033333331	846.4706333333306	100
	berlin52	11340.567500000003	10462.066452	878.5010480000037	100
	berlin52	11336.6837	10431.971597666665	904.7121023333348	100
	berlin52	11488.047133333333	10426.606999333333	1061.4401340000004	100
	berlin52	11414.033399999998	10389.78136033333	1024.2520396666678	100
	berlin52	11420.483399999997	10422.84024633333	997.6431536666678	100
	berlin52	11307.782500000005	10428.47814266667	879.3043573333343	100
	berlin52	11256.863800000001	10420.133070333335	836.7307296666659	100
	berlin52	11677.718966666669	10475.507130666665	1202.211836000004	100
	berlin52	11321.749766666664	10433.426692	888.323074666665	100


	
	kroa100	63935.438466666696	58110.29461333333	5825.143853333364	100
	kroa100	64125.802566666694	58371.96749500001	5753.835071666683	100
	kroa100	64506.00383333329	58280.43720033333	6225.566632999966	100
	kroa100	65653.44416666668	58199.65000966668	7453.794157000004	100
	kroa100	64450.20223333329	58132.57733566667	6317.624897666625	100
	kroa100	64076.14623333336	58049.642258	6026.503975333362	100
	kroa100	64549.63793333331	58233.339313666664	6316.298619666646	100
	kroa100	64182.37200000002	58055.59751499999	6126.774485000031	100
	kroa100	66235.20396666662	58386.097656333346	7849.106310333278	100
	kroa100	63406.05803333338	57977.75691699999	5428.301116333387	100
