
<-----------------------------Output of CSP with GA------------------------------>

	Instance	Best cost	    Average cost	    Deviation	        nInstance
	rat99	1669.2188079991417	1332.4909399789135	336.72786802022824	31
	rat99	1908.5962186677282	1521.559802294475	387.03641637325313	31
	rat99	1519.7139614310802	1376.3349917681235	143.3789696629567	31
	rat99	1285.9989176747126	1162.94087254973	123.05804512498253	31
	rat99	1493.1406409985723	1015.8251992062791	477.3154417922932	31
	rat99	1528.433012422547	1177.9815014808873	350.45151094165976	31
	rat99	1345.8828915113536	1007.7653004457304	338.1175910656232	31
	rat99	1630.9953106859095	1281.4135909029944	349.5817197829151	31
	rat99	1846.566834275392	1380.3647878439135	466.2020464314785	31
	rat99	1410.1541797179489	1182.7065043932646	227.44767532468427	31
	rat99	1660.7028525499531	1482.379212014527	178.3236405354262	31
	rat99	1339.6644454837126	1160.0120855996806	179.65235988403197	31
	rat99	1363.9523795588093	1222.6879024533775	141.26447710543175	31
	rat99	1192.7446552413357	1040.0898591974958	152.65479604383995	31
	rat99	1104.5651088574741	977.3799437613461	127.185165096128	31
	rat99	1775.0272993205604	1318.632947687228	456.39435163333246	31
	rat99	1381.4461972790764	1106.1518779684213	275.29431931065506	31
	rat99	1270.265535511796	1079.6725885607084	190.5929469510877	31
	rat99	1410.8806023418704	1114.3812952330643	296.4993071088061	31
	rat99	1547.398085301309	1346.4735691763765	200.92451612493255	31
	rat99	1682.4789759873365	1345.9039433767268	336.5750326106097	31


	berlin52	4652.463835670436	4266.950498411397	385.51333725903896	31
	berlin52	6509.542875744746	5587.420379303698	922.1224964410485	31
	berlin52	4422.471482767387	3916.011564131669	506.45991863571817	31
	berlin52	5333.328151439867	4918.220077506669	415.1080739331974	31
	berlin52	6027.160471082125	5175.1792447776315	851.9812263044932	31
	berlin52	3174.438916253236	3034.040501966197	140.39841428703903	31
	berlin52	4218.0818526163785	3774.0294855292877	444.0523670870907	31
	berlin52	4376.219667155591	3780.7958995051576	595.4237676504335	31
	berlin52	6203.995769185425	4949.488343600745	1254.5074255846803	31
	berlin52	6337.950355141224	5417.036436924039	920.9139182171848	31
	berlin52	3430.4313160447546	2983.0161666141043	447.4151494306502	31
	berlin52	5889.237167318272	5381.905638868897	507.3315284493756	31
	berlin52	4548.145956663322	3876.174927298449	671.9710293648732	31
	berlin52	3544.463812979314	3225.513661365475	318.9501516138389	31
	berlin52	5477.645217051642	5305.260028126356	172.38518892528646	31
	berlin52	3390.8141163408595	2735.8849363081054	654.9291800327542	31
	berlin52	2804.9716628280657	2586.279188778397	218.69247404966882	31
	berlin52	4173.6905421376405	3548.4615476238946	625.2289945137459	31
	berlin52	5865.1969928959625	5442.979280561091	422.21771233487107	31
	berlin52	6093.796424225615	4841.116876328822	1252.6795478967924	31


	eil51	301.4795842375776	251.15030713714842	50.32927710042921	31
	eil51	403.0091584996771	338.091792519696	64.91736597998107	31
	eil51	324.02009147213226	265.8492374057954	58.17085406633686	31
	eil51	319.1892800436976	271.27237177920756	47.91690826449002	31
	eil51	263.4716438969426	234.74970556076718	28.72193833617544	31
	eil51	585.4539300340849	512.1474253184531	73.30650471563183	31
	eil51	344.320904992539	296.11398238040385	48.206922612135145	31
	eil51	402.1676407760866	332.0405132111697	70.12712756491692	31
	eil51	550.5483297343252	437.913456145673	112.63487358865217	31
	eil51	255.35585255729046	200.58300804271929	54.772844514571176	31
	eil51	389.9310128747695	319.92982591444246	70.00118696032706	31
	eil51	375.5896997168094	326.54398983385124	49.045709882958135	31
	eil51	275.50257771218907	244.41149944184653	31.091078270342535	31
	eil51	224.21382768729217	209.74121907734337	14.472608609948793	31
	eil51	391.15967695544737	315.59302648196183	75.56665047348554	31
	eil51	397.2689013824013	325.27166546997023	71.99723591243105	31
	eil51	306.6549328035014	251.10891920263353	55.546013600867894	31
	eil51	506.4237380906179	402.81849643797767	103.60524165264025	31
	eil51	317.90316151821673	281.83833389827953	36.064827619937205	31
	eil51	506.4626469250287	437.32027863705287	69.14236828797584	31


	att532	71498.41325025339	58918.60293838386	12579.810311869529	30
	att532	74539.41134338085	55703.019593773344	18836.39174960751	30
	att532	58080.239553039406	48355.45315579932	9724.786397240088	30
	att532	71538.46738206668	53023.86209407999	18514.60528798669	30
	att532	60363.552030472485	51169.52083642284	9194.031194049647	30
	att532	79457.9340896315	62128.84836128755	17329.085728343947	30
	att532	72223.78507870804	61353.73686497808	10870.048213729962	30
	att532	65162.99284721303	49291.81228083051	15871.180566382514	30
	att532	62805.039928118	53117.253900462616	9687.786027655384	30
	att532	62828.695906589164	48286.626992876954	14542.06891371221	30
	att532	64757.900593953236	46510.13958515568	18247.761008797555	30
	att532	60647.968606312956	47068.02424798998	13579.944358322973	30
	att532	75497.18348050718	63777.98671520131	11719.196765305875	30
	att532	76357.62866711967	66650.3254750848	9707.303192034873	30
	att532	75394.02400511273	60261.430263118265	15132.593741994468	30
	att532	81711.59366593129	71263.08256902025	10448.51109691104	30
	att532	63960.25916150914	48789.63936253023	15170.619798978907	30
	att532	54472.416539990125	46088.93962266681	8383.476917323314	30
	att532	68903.14932293167	55551.03148313104	13352.11783980063	30
	att532	60214.65614306704	52135.57216510603	8079.0839779610105	30
	
