GA Parameters: Population Size: 500 Tournament size: 50 Mutation Rate: 0.02 Number of genes: 20	Instance	Best cost	Average cost	Deviation	nInstance
	Instance	Best cost(in Km)	Average cost	Deviation	nInstance
	
	rat99	160507	196647.9612903226	36140.96129032259	310      
	rat99	174432	213338.88014981273	38906.88014981273	267
	rat99	168720	201329.9494047619	32609.949404761894	336
	rat99	164114	212062.9138576779	47948.91385767789	267
	rat99	173653	211273.58139534883	37620.581395348825	258
	rat99	167965	200989.82666666666	33024.82666666666	375
	rat99	174176	204443.4358208955	30267.43582089551	335

    
	berlin52	165670	190341.70754716982	24671.70754716982	106
	berlin52	149967	182234.3969465649	32267.3969465649	131
	berlin52	178902	202484.1848739496	23582.18487394959	119
	berlin52	188999	203018.72972972973	14019.729729729734	111
	berlin52	160674	186480.17699115045	25806.176991150453	113
	berlin52	164703	187829.73255813954	23126.73255813954	86
	berlin52	161825	182957.15573770492	21132.155737704918	122
	    

	eil51	60188	66269.488	6081.487999999998	125
	eil51	53963	61628.560975609755	7665.560975609755	123
	eil51	52250	61485.63888888889	9235.63888888889	108
	eil51	51663	59717.86178861788	8054.861788617884	123
	eil51	54870	60453.904411764706	5583.904411764706	136
	eil51	55483	64661.00943396227	9178.009433962266	106
	eil51	58672	63628.788235294116	4956.788235294116	170

